Row 001:  | Not updated yet |  |  |  |  |  |  |  |  |  |  | Last month's |  |  |  | 
Row 002:  |  | eventid | Event Name | Unit | Reward value: PP | Reward value: BP | Total reward value |  |  |  |  | Reward value: PP | Reward value: BP | Total reward value |  | 
Row 030:  |  |  | Web | USD | 1.95370059 | 0 | 1.95370059 |  |  |  |  | 1.48 | 0.73 | 2.21 |  | 
Row 031:  |  | PC & M + Web + SVIP |  | USD | 2.416164254 | 0.2442418879 | 2.660406142 |  |  |  |  | 2.68 | 1.53 | 4.21 |  | 
Row 032:  |  |  | SVIP | USD | 0.2342028997 | 0.07473710587 | 0.3089400056 |  |  |  |  | 0.81 | 0.5 | 1.31 |  | 
Row 034:  | Composition |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 035:  |  | PC & M regular |  | % | 0.5738575564 | 0.4261424436 | 1 |  |  |  |  | 0.559 | 0.441 | 1.0 |  | 
Row 036:  |  |  | PC REGULAR | % | 0.5437660935 | 0.4562339065 | 1 |  |  |  |  | 0.5433 | 0.4567 | 1.0 |  | 
Row 037:  |  |  | Mobile | % | 0.8477479553 | 0.1522520447 | 1 |  |  |  |  | 0.7723 | 0.2277 | 1.0 |  | 
Row 038:  |  | PC & M + Web |  | % | 0.9279152783 | 0.07208472171 | 1 |  |  |  |  | 0.6438 | 0.3562 | 1.0 |  | 
Row 039:  |  |  | Web | % | 1 | 0 | 1 |  |  |  |  | 0.6703 | 0.3297 | 1.0 |  | 
Row 040:  |  | PC & M + Web + SVIP |  | % | 0.9081937588 | 0.09180624119 | 1 |  |  |  |  | 0.636 | 0.364 | 1.0 |  | 
Row 041:  |  |  | SVIP | % | 0.7580853741 | 0.2419146259 | 1 |  |  |  |  | 0.6189 | 0.3811 | 1.0 |  | 
Row 045: INPUT |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 047: 1.0 | PC Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 049:  |  | 10003383.0 |  | BP | 7598710350688 | 1100000000000 | 8698710350688 |  |  |  |  |  |  |  |  | 
Row 050:  |  | 10003384.0 |  | BP | 0 | 2400000000000 | 2400000000000 |  |  |  |  |  |  |  |  | 
Row 051:  |  | 10003385.0 |  | BP | 0 | 2400000000000 | 2400000000000 |  |  |  |  |  |  |  |  | 
Row 052:  |  | 10003386.0 |  | BP | 19310530522640 | 12400000000000 | 31710530522640 |  |  |  |  |  |  |  |  | 
Row 053:  |  | 10003387.0 |  | BP | 10504026393542 | 14260000000000 | 24764026393542 |  |  |  |  |  |  |  |  | 
Row 054:  |  | 10003388.0 |  | BP | 5793609857180 | 1200000000000 | 6993609857180 |  |  |  |  |  |  |  |  | 
Row 055:  |  | 10003389.0 |  | BP | 1583322247160 | 1200000000000 | 2783322247160 |  |  |  |  |  |  |  |  | 
Row 056:  |  | 10003390.0 |  | BP | 0 | 1200000000000 | 1200000000000 |  |  |  |  |  |  |  |  | 
Row 057:  |  | 10003391.0 |  | BP | 0 | 1198003684660 | 1198003684660 |  |  |  |  |  |  |  |  | 
Row 058:  |  | 10003392.0 |  | BP | 0 | 1184027797624 | 1184027797624 |  |  |  |  |  |  |  |  | 
Row 059:  |  | 10003393.0 |  | BP | 3970929900752 | 2369825221359 | 6340755122111 |  |  |  |  |  |  |  |  | 
Row 060:  |  | 10003394.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 061:  |  | 10003395.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 080:  |  | Total |  | BP | 48761129271962 | 40911856703643 | 89672985975605 |  |  |  |  |  |  |  |  | 
Row 081:  |  | % |  | % | 0.5437660935 | 0.4562339065 | 1 |  |  |  |  |  |  |  |  | 
Row 084: 2.0 | Mobile Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 086:  |  | 20000779.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 087:  |  | 20000780.0 |  | BP | 0 | 1500000000000 | 1500000000000 |  |  |  |  |  |  |  |  | 
Row 088:  |  | 20000781.0 |  | BP | 3475211838720 | 0 | 3475211838720 |  |  |  |  |  |  |  |  | 
Row 089:  |  | 20000782.0 |  | BP | 4876872594630 | 0 | 4876872594630 |  |  |  |  |  |  |  |  | 
Row 090:  |  | 20000783.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 091:  |  | 20000784.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 092:  |  | 20000785.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 094:  |  | Total |  | BP | 8352084433350 | 1500000000000 | 9852084433350 |  |  |  |  |  |  | 8298646.017 |  | 
Row 095:  |  | % |  | % | 0.8477479553 | 0.1522520447 | 1 |  |  |  |  |  |  |  |  | 
Row 098: 3.0 | Web Exclusive Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 100:  |  | Gacha ingame |  | BP | 42963418808370 | 0.0 | 42963418808370 |  |  |  |  |  |  |  |  | 
Row 101:  |  | Slot Machine(Foosball) |  | BP | 24016049758322 | 0.0 | 24016049758322 |  |  |  |  |  |  |  |  | 
Row 102:  |  | Around the world |  | BP | 24958561916828 | 0.0 | 24958561916828 |  |  |  |  |  |  |  |  | 
Row 103:  |  | HungKing -VN Holiday |  | BP | 46771086370939 | 0.0 | 46771086370939 |  |  |  |  |  |  |  |  | 
Row 104:  |  | Weekly DAU |  | BP | 49597391069879 | 0.0 | 49597391069879 |  |  |  |  |  |  |  |  | 
Row 105:  |  | 25UCL DAU |  | BP | 29767355034003 | 0.0 | 29767355034003 |  |  |  |  |  |  |  |  | 
Row 106:  |  | Monopoly |  | BP | 9908212364995 | 0.0 | 9908212364995 |  |  |  |  |  |  |  |  | 
Row 107:  |  | Weekly DAU | (4 weeks) | BP | 111189933382293 | 0.0 | 111189933382293 |  |  |  |  |  |  |  |  | 
Row 108:  |  | Legends Match |  | BP | 83979779186012 | 0.0 | 83979779186012 |  |  |  |  |  |  |  |  | 
Row 109:  |  | FC Pro Master |  | BP | 65684387966589 | 0.0 | 65684387966589 |  |  |  |  |  |  |  |  | 
Row 110:  |  | 25UCL Final |  | BP |  |  | 0 |  |  |  |  |  |  |  |  | 
Row 111:  |  | Total |  | BP | 488836175858231 | 0 | 488836175858231 |  |  |  |  |  |  |  |  | 
Row 112:  |  | % |  | % | 1 | 0 | 1 |  |  |  |  |  |  |  |  | 
Row 115: 4.0 | SVIP Exclusive Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 117:  |  | 10003420.0 |  | BP | 13546729546607 | 0 | 13546729546607 |  |  |  |  |  |  |  |  | 
Row 118:  |  | 10003421.0 |  | BP | 3105795106476 | 0 | 3105795106476 |  |  |  |  |  |  |  |  | 
Row 119:  |  | 10003422.0 |  | BP | 2539641607906 | 0 | 2539641607906 |  |  |  |  |  |  |  |  | 
Row 120:  |  | 10003423.0 |  | BP | 25969519661793 | 15500000000000 | 41469519661793 |  |  |  |  |  |  |  |  | 
Row 121:  |  | 10003424.0 |  | BP | 9885849337486 | 1600000000000 | 11485849337486 |  |  |  |  |  |  |  |  | 
Row 122:  |  | 10003425.0 |  | BP | 2960203017716 | 1600000000000 | 4560203017716 |  |  |  |  |  |  |  |  | 
Row 123:  |  | 10003426.0 |  | BP | 592259323896 | 0 | 592259323896 |  |  |  |  |  |  |  |  | 
Row 125:  |  | Total |  | BP | 58599997601880 | 18700000000000 | 77299997601880 |  |  |  |  |  |  |  |  | 
Row 126:  |  | % |  | % | 0.7580853741 | 0.2419146259 | 1 |  |  |  |  |  |  |  |  | 
Row 130: 5.0 | BPV per USD |  |  | BP |  |  | 8071302727212 |  |  |  |  |  |  |  |  | 
