Row 001:  | Not updated yet |  |  |  |  |  |  |  |  |  |  | Last month's |  |  |  | 
Row 002:  |  | eventid | Event Name | Unit | Reward value: PP | Reward value: BP | Total reward value |  |  |  |  | Reward value: PP | Reward value: BP | Total reward value |  | 
Row 030:  |  |  | Web | USD | 46.81247487 | 0 | 46.81247487 |  |  |  |  | 1.48 | 0.73 | 2.21 |  | 
Row 031:  |  | PC & M + Web + SVIP |  | USD | 47.43573355 | 0.2200322299 | 47.65576578 |  |  |  |  | 2.68 | 1.53 | 4.21 |  | 
Row 032:  |  |  | SVIP | USD | 0.2936060058 | 0.0676104457 | 0.3612164515 |  |  |  |  | 0.81 | 0.5 | 1.31 |  | 
Row 034:  | Composition |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 035:  |  | PC & M regular |  | % | 0.6838210758 | 0.3161789242 | 1 |  |  |  |  | 0.559 | 0.441 | 1.0 |  | 
Row 036:  |  |  | PC REGULAR | % | 0.6700536564 | 0.3299463436 | 1 |  |  |  |  | 0.5433 | 0.4567 | 1.0 |  | 
Row 037:  |  |  | Mobile | % | 0.7960865485 | 0.2039134515 | 1 |  |  |  |  | 0.7723 | 0.2277 | 1.0 |  | 
Row 038:  |  | PC & M + Web |  | % | 0.9967771807 | 0.003222819254 | 1 |  |  |  |  | 0.6438 | 0.3562 | 1.0 |  | 
Row 039:  |  |  | Web | % | 1 | 0 | 1 |  |  |  |  | 0.6703 | 0.3297 | 1.0 |  | 
Row 040:  |  | PC & M + Web + SVIP |  | % | 0.9953828833 | 0.004617116655 | 1 |  |  |  |  | 0.636 | 0.364 | 1.0 |  | 
Row 041:  |  |  | SVIP | % | 0.8128256744 | 0.1871743256 | 1 |  |  |  |  | 0.6189 | 0.3811 | 1.0 |  | 
Row 045: INPUT |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 047: 1.0 | PC Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 049:  |  | 10003383.0 |  | BP | 4023051800148 | 450000000000 | 4473051800148 |  |  |  |  |  |  |  |  | 
Row 050:  |  | 10003384.0 |  | BP | 0 | 1200000000000 | 1200000000000 |  |  |  |  |  |  |  |  | 
Row 051:  |  | 10003385.0 |  | BP | 0 | 1200000000000 | 1200000000000 |  |  |  |  |  |  |  |  | 
Row 052:  |  | 10003386.0 |  | BP | 10133118077684 | 4200000000000 | 14333118077684 |  |  |  |  |  |  |  |  | 
Row 053:  |  | 10003387.0 |  | BP | 9487507710296 | 5600000000000 | 15087507710296 |  |  |  |  |  |  |  |  | 
Row 054:  |  | 10003388.0 |  | BP | 2877703558636 | 800000000000 | 3677703558636 |  |  |  |  |  |  |  |  | 
Row 055:  |  | 10003389.0 |  | BP | 2417459326124 | 800000000000 | 3217459326124 |  |  |  |  |  |  |  |  | 
Row 056:  |  | 10003390.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 057:  |  | 10003391.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 058:  |  | 10003392.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 059:  |  | 10003393.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 060:  |  | 10003394.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 061:  |  | 10003395.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 080:  |  | Total |  | BP | 28938840472888 | 14250000000000 | 43188840472888 |  |  |  |  |  |  |  |  | 
Row 081:  |  | % |  | % | 0.6700536564 | 0.3299463436 | 1 |  |  |  |  |  |  |  |  | 
Row 084: 2.0 | Mobile Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 086:  |  | 20000779.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 087:  |  | 20000780.0 |  | BP | 0 | 1080000000000 | 1080000000000 |  |  |  |  |  |  |  |  | 
Row 088:  |  | 20000781.0 |  | BP | 1917542193720 | 0 | 1917542193720 |  |  |  |  |  |  |  |  | 
Row 089:  |  | 20000782.0 |  | BP | 2298822475770 | 0 | 2298822475770 |  |  |  |  |  |  |  |  | 
Row 090:  |  | 20000783.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 091:  |  | 20000784.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 092:  |  | 20000785.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 094:  |  | Total |  | BP | 4216364669490 | 1080000000000 | 5296364669490 |  |  |  |  |  |  | 8298646.017 |  | 
Row 095:  |  | % |  | % | 0.7960865485 | 0.2039134515 | 1 |  |  |  |  |  |  |  |  | 
Row 098: 3.0 | Web Exclusive Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 099:  |  | FVPL Spring 2026 |  | BP |  | 0.0 |  |  |  |  |  |  |  |  |  | 
Row 100:  |  | Gacha ingame |  | BP | 10973805577002 | 0.0 | 10973805577002 |  |  |  |  |  |  |  |  | 
Row 101:  |  | Slot Machine(Foosball) |  | BP | 9739963092445 | 0.0 | 9739963092445 |  |  |  |  |  |  |  |  | 
Row 102:  |  | Fortune Lantern |  | BP | 9003591191351 | 0.0 | 9003591191351 |  |  |  |  |  |  |  |  | 
Row 103:  |  | TET 2026 |  | BP | 4602610000000000.0 | 0.0 | 4602610000000000.0 |  |  |  |  |  |  |  |  | 
Row 104:  |  | Weekly DAU |  | BP | 39643119472661 | 0.0 | 39643119472661 |  |  |  |  |  |  |  |  | 
Row 105:  |  | LNY |  | BP | 16799551001608 | 0.0 | 16799551001608 |  |  |  |  |  |  |  |  | 
Row 106:  |  | Monopoly |  | BP | 19444760952849 | 0.0 | 19444760952849 |  |  |  |  |  |  |  |  | 
Row 107:  |  | Total |  | BP | 4708220000000000.0 | 0 | 4708220000000000.0 |  |  |  |  |  |  |  |  | 
Row 108:  |  | % |  | % | 1 | 0 | 1 |  |  |  |  |  |  |  |  | 
Row 111: 4.0 | SVIP Exclusive Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 113:  |  | 10003420.0 |  | BP | 4983211645888 | 0 | 4983211645888 |  |  |  |  |  |  |  |  | 
Row 114:  |  | 10003421.0 |  | BP | 2760706761312 | 0 | 2760706761312 |  |  |  |  |  |  |  |  | 
Row 115:  |  | 10003422.0 |  | BP | 2344284561144 | 0 | 2344284561144 |  |  |  |  |  |  |  |  | 
Row 116:  |  | 10003423.0 |  | BP | 15684012097404 | 5600000000000 | 21284012097404 |  |  |  |  |  |  |  |  | 
Row 117:  |  | 10003424.0 |  | BP | 1880987169996 | 600000000000 | 2480987169996 |  |  |  |  |  |  |  |  | 
Row 118:  |  | 10003425.0 |  | BP | 1455198649304 | 600000000000 | 2055198649304 |  |  |  |  |  |  |  |  | 
Row 119:  |  | 10003426.0 |  | BP | 421368052200 | 0 | 421368052200 |  |  |  |  |  |  |  |  | 
Row 121:  |  | Total |  | BP | 29529768937248 | 6800000000000 | 36329768937248 |  |  |  |  |  |  |  |  | 
Row 122:  |  | % |  | % | 0.8128256744 | 0.1871743256 | 1 |  |  |  |  |  |  |  |  | 
Row 126: 5.0 | BPV per USD |  |  | BP |  |  | 3244392733295 |  |  |  |  |  |  |  |  | 
